ID,DSE01,DSE02,DSE03,DSE04,DSE05,DSE06,DSE07,DSE08,DSE09,DSE10,HAB01,HAB02,HAB03,HAB041,HAB042,HAB043,HAB044,HAB045,HAB046,ULV01,ULV02,ULV03,UVL04,ULV05,ULV06,ULV07,ULV08,ULV09,ACD1,ACD02,RAN01,RAN02,RAN03,JOG101,CAP101,JOG102,CAP102,JOG103,CAP103,JOG104,CAP104,JOG105,CAP105,JOG106,CAP106,JOG107,CAP107,JOG108,CAP108,JOG109,CAP109,JOG201,CAP201,JOG202,CAP202,JOG203,CAP203,JOG204,CAP204,JOG205,CAP205,JOG206,CAP206,JOG207,CAP207,JOG208,CAP208,JOG209,CAP209,JOG301,CAP301,JOG302,CAP302,JOG303,CAP303,JOG304,CAP304,JOG305,CAP305,JOG306,CAP306,JOG307,CAP307,JOG308,CAP308,JOG309,CAP309,DEB01,DEB02,DEB03,COM011,COM012,COM013,COM014,COM015,COM016,COM017,COM021,COM022,COM023,COM024,COM025,COM03,FNT01,interviewtime
4394,26,A1,3,6,1,1,5,3,1,NA,7,1,A3,Y,,,,,,A3,26,26,1,1,A2,A1,A1,A2,NA,1,2,2,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,A3,10,A2,10,A3,10,A2,10,A3,10,A2,10,A3,10,A3,10,A2,10,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1,1,2,,,Y,Y,Y,,,5,4,1,3,2,8,5,670.29
4398,26,A2,6,6,1,2,6,2,1,NA,4,2,A1,,,,,,Y,A2,26,26,3,3,A2,A1,A2,A1,NA,2,2,1,NA,A3,7,A3,5,A2,9,A3,7,A2,8,A2,8,A2,8,A3,8,A3,8,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2,1,1,,,Y,Y,Y,,,5,1,2,4,3,5,6,724.85
4399,26,A1,1,3,7,1,7,5,1,NA,5,1,A2,Y,,,,,,A3,26,26,2,5,A2,A2,A1,A1,2,NA,1,1,NA,A3,7,A3,8,A2,8,A2,8,A3,8,A3,8,A3,8,A3,7,A3,8,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2,2,2,,,Y,,Y,,,4,2,5,1,3,7,5,552.32
4400,26,A1,4,5,1,2,7,5,4,1,3,1,A3,Y,Y,,,,,A1,26,26,2,3,A1,A1,A1,A1,NA,2,2,3,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,A3,10,A3,8,A3,8,A2,8,A3,9,A2,10,A3,10,A3,10,A2,9,2,2,1,,Y,Y,,Y,,,1,2,4,3,5,10,6,859.19
4401,26,A2,2,5,7,2,4,3,2,1,8,NA,,,,,,,,,NA,NA,NA,NA,,,,,NA,2,2,1,2,A3,10,A3,8,A2,5,A2,10,A3,5,A3,7,A3,8,A3,10,A3,6,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2,1,2,,,,,,,Y,1,2,5,3,4,5,5,728.95
4402,26,A1,4,6,1,2,6,4,2,1,6,1,A2,,,,,,Y,A2,26,26,3,5,A1,A1,A1,A1,NA,2,2,3,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,A3,10,A3,9,A2,9,A2,9,A3,10,A2,10,A3,10,A3,10,A2,10,2,2,2,,,,,Y,,,5,1,4,3,2,7,5,1285.97
4403,7,A2,4,7,10,2,8,6,4,1,6,1,A1,,Y,,,,,A2,7,9,2,4,A2,A1,A1,A3,NA,2,2,3,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,A3,10,A2,10,A3,7,A2,10,A3,9,A2,10,A3,10,A3,10,A2,9,2,2,1,,Y,Y,,Y,,,5,2,1,4,3,4,5,340.14
4404,26,A1,3,6,1,1,5,1,1,NA,5,1,A2,,Y,,,,,A2,26,26,1,2,A2,A2,A1,A1,2,NA,1,3,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,A3,10,A3,10,A3,7,A2,10,A3,10,A2,10,A3,10,A3,10,A2,7,2,2,2,,Y,Y,Y,,,,5,4,3,1,2,6,5,545.78
4405,26,A1,3,6,1,1,5,2,2,1,8,NA,,,,,,,,,NA,NA,NA,NA,,,,,2,NA,1,2,2,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,A3,10,A2,10,A2,10,A2,10,A3,10,A2,10,A3,10,A3,10,A2,10,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2,1,2,,Y,Y,,Y,,,5,1,2,4,3,6,5,416.97
4406,13,A2,3,7,1,1,7,3,1,NA,3,1,A2,,Y,,,,,A1,13,26,5,10,A2,A2,A1,A2,NA,2,2,2,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,A3,8,A3,8,A2,9,A2,6,A2,9,A3,6,A3,7,A3,9,A3,8,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2,1,1,Y,Y,Y,Y,,,,5,2,1,4,3,4,5,386.12
4407,26,A1,4,7,1,2,7,3,1,NA,5,1,A3,,Y,,,,,A2,26,26,1,1,A1,A1,A1,A1,2,NA,1,2,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,A3,10,A2,10,A2,10,A3,10,A3,10,A2,10,A3,10,A3,10,A3,10,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2,2,1,,Y,Y,,Y,,,5,4,1,3,2,6,5,357.97
4409,5,A2,4,7,1,2,7,4,3,1,2,1,A1,,Y,,,,,A1,5,5,1,1,A1,A1,A1,A2,1,NA,1,2,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,A3,10,A3,10,A2,10,A2,10,A3,10,A2,10,A3,10,A3,10,A3,10,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2,1,2,,Y,,Y,Y,,,5,3,1,4,2,4,5,571.67
4410,26,A1,3,4,1,2,5,3,2,1,2,1,A1,Y,,,,,,A2,26,26,3,3,A1,A2,A1,A2,1,NA,1,1,NA,A3,7,A3,7,A3,7,A3,7,A3,7,A2,7,A2,7,A3,8,A2,8,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2,1,2,,Y,Y,,Y,,,5,4,1,3,2,5,5,775.46
